IBINS#,IBADD@IN,IBADDIN,IBWPHR,IBZIP6,IBSTE,IBCITY,IBADD1,IBLABL,IBPAYID,IBCNTC                    IBDEL@ IBDTSTS,,IBMSID       IBDTMSID,,IBDTMT,,IBTMNT,,IBUSER,IBDTES,,IBTESE,,IBUSRC,IBZPGM,INNAMB
213,489,00000489,3154724411,13204,NY,Syracuse,301 Pulaski St,N,6126,1/29/1999,00:00.0,1/29/1999,00:00.0,8/4/2009,00:00.0,1/1/1900,31:38.0,KIMKTAR,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,LOCAL 58 SMW
214,490,00000490,3157862668,13601,NY,Watertown,753 CITY CENTER DR WEST,N,6126,1/29/1999,00:00.0,1/29/1999,00:00.0,12/19/2006,00:00.0,1/1/1900,08:39.0,BECKSCH,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,ZSHERIFF OF JEFFERSON CO
215,491,00000491,8003434363,,,,,N,6126,DO NOT MAIL                      1999-01-29,00:00.0,1/29/1999,00:00.0,12/19/2006,00:00.0,1/1/1900,00:00.0,BECKSCH,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,INACTIVE SIGNATURE DENTAL PLAN
216,492,00000492,0,13045,NY,Cortland,"RT 13 SOUTH,BOX 2020",N,6126,1/29/1999,00:00.0,1/29/1999,00:00.0,12/19/2006,00:00.0,1/1/1900,09:15.0,BECKSCH,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,INACTIVE SMITH CORONA CORP
217,493,00000493,0,18940,PA,Newtown,PO BOX 248,N,6126,1/29/1999,00:00.0,1/29/1999,00:00.0,5/25/2011,00:00.0,1/1/1900,09:21.0,MWIMER,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,ZSNL ADMINISTRATORS
218,494,00000494,0,13662,NY,Massena,PO BOX 270,N,6126,1/29/1999,00:00.0,1/29/1999,00:00.0,12/19/2006,00:00.0,1/1/1900,09:27.0,BECKSCH,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,ZST LAWRENCE GAS
219,495,00000495,4536500,13088,NY,Liverpool,1045 7TH NORTH ST,N,6126,1/29/1999,00:00.0,1/29/1999,00:00.0,12/19/2006,00:00.0,1/1/1900,10:21.0,BECKSCH,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,ZSTATE  INSURANCE FUND
219,673,00000673,0,12205,NY,Albany,15 COMPUTER DR WEST,N,6126,1/29/1999,00:00.0,1/29/1999,00:00.0,12/19/2006,00:00.0,1/1/1900,10:17.0,BECKSCH,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,ZSTATE  INSURANCE FUND
220,496,00000496,0,22030,VA,Fairfax,3987 UNIVERSITY DR #100,N,6126,1/29/1999,00:00.0,1/29/1999,00:00.0,12/19/2006,00:00.0,1/1/1900,11:12.0,BECKSCH,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,ZSUBURGAN HEALTH CARE BEN
221,497,00000497,0,11727,NY,Coram,3680 ROUTE 112 #2,N,6126,1/29/1999,00:00.0,1/29/1999,00:00.0,12/19/2006,00:00.0,1/1/1900,15:56.0,BECKSCH,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,ZSUFFOLK COUNTY BEN PLAN
222,211943,00211943,3154559790,13221,NY,Syracuse,INACTIVE,N,6126,1/1/1940,00:00.0,1/1/1940,00:00.0,12/19/2006,00:00.0,1/1/1900,34:15.0,BECKSCH,1/15/2002,00:00.0,1/1/1900,51:12.0,DANMWAT,ADRMASTRG,EBS NYS TEAMSTERS
222,370610,00370610,8008035773,13221,NY,Syracuse,PO Box 4863,N,EBSRM,1/1/1940,00:00.0,1/1/1940,00:00.0,8/6/2013,00:00.0,1/1/1900,27:39.0,KVANCAMP,9/3/2004,00:00.0,1/1/1900,37:04.0,ELIMURB,INSADR,EBS NYS TEAMSTERS
222,441573,00441573,8008035773,13221,NY,Syracuse,PO Box 4982,N,CX043,1/1/1940,00:00.0,1/1/1940,00:00.0,8/26/2009,00:00.0,1/1/1900,43:13.0,KIMKTAR,7/5/2005,00:00.0,1/1/1900,11:03.0,BAHBATT,INSADR,EBS NYS TEAMSTERS
222,3588874,03588874,8008035773,55121,MN,Eagan,PO Box 21951,,EBSRM,1/1/1940,00:00.0,0452153      2018-07-05,00:00.0,7/5/2018,00:00.0,1/1/1900,04:08.0,JDALE,7/23/2013,00:00.0,1/1/1900,03:08.0,MCARMONA,ADRMASTRG,EBS NYS TEAMSTERS
223,499,00000499,2159236300,19106,PA,Philadelphia,4TH AND CHERRY STREETS,N,6126,1/29/1999,00:00.0,1/29/1999,00:00.0,12/19/2006,00:00.0,1/1/1900,00:00.0,BECKSCH,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,INACTIVE TEAMSTERS HLTH&WELF
223,134642,00134642,0,13212,NY,North Syracuse,PO BOX 4928,N,6126,1/1/1940,00:00.0,1/1/1940,00:00.0,7/7/2010,00:00.0,1/1/1900,29:27.0,JIMNPAV,7/12/2000,00:00.0,1/1/1900,27:55.0,KERLNOD,ADRMASTRG,INACTIVE TEAMSTERS HLTH&WELF
224,500,00000500,8004450151,2351,MA,Abbington,500 North Quincy,N,6126,1/29/1999,00:00.0,1/29/1999,00:00.0,3/12/2013,00:00.0,1/1/1900,29:56.0,AROY,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,ZLOCAL 445 TEAMSTERS
225,395,00000395,8884682183,11553,NY,Uniondale,333 Earle Ovington Blvd Ste300,N,6126,1/1/1940,00:00.0,1/1/1940,00:00.0,12/17/2010,00:00.0,1/1/1900,32:28.0,RBOOKMAN,11/10/1999,00:00.0,1/1/1900,12:20.0,KATMRET,ADRMASTRG,INACTIVE LOCAL 72 TEAMSTERS
225,498,00000498,3154559790,13221,NY,Syracuse,INACTIVE,N,6126,1/1/1940,00:00.0,1/1/1940,00:00.0,12/19/2006,00:00.0,1/1/1900,32:23.0,BECKSCH,7/14/1999,00:00.0,1/1/1900,55:22.0,MICHELLES,ADRMASTRG,INACTIVE LOCAL 72 TEAMSTERS
226,502,00000502,3157854656,6104,CT,Hartford,PO Box 2999,N,6126,EMPLOYEE GROUP CLAIM             1999-01-29,00:00.0,1/29/1999,00:00.0,7/31/2009,00:00.0,1/1/1900,16:42.0,KIMKTAR,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,ZTHE HARTFORD
227,503,00000503,0,13221,NY,Syracuse,PO Box 4925,N,6126,SYRACUSE HEALTH CLAI             1999-01-29,00:00.0,1/29/1999,00:00.0,7/31/2009,00:00.0,1/1/1900,16:49.0,KIMKTAR,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,ZTHE HARTFORD (SYRACUSE)
228,504,00000504,6169429780,49501,MI,Grand Rapids,PO BOX 1687,N,6126,1/29/1999,00:00.0,1/29/1999,00:00.0,12/19/2006,00:00.0,1/1/1900,17:01.0,BECKSCH,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,ZTOTAL GROUP SERVICES INC
229,505,00000505,0,49503,MI,Grand Rapids,PO BOX 309,N,87226,1/29/1999,00:00.0,1/29/1999,00:00.0,12/19/2006,00:00.0,1/1/1900,39:09.0,BECKSCH,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,INACTIVE TRAVELERS
229,563,00000563,0,84130,UT,Salt Lake City,PO BOX 30984,N,87226,1/29/1999,00:00.0,1/29/1999,00:00.0,12/19/2006,00:00.0,1/1/1900,40:11.0,BECKSCH,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,INACTIVE TRAVELERS
229,564,00000564,8008423367,84130,UT,Salt Lake City,PO BOX 30992,N,87226,1/29/1999,00:00.0,1/29/1999,00:00.0,12/19/2006,00:00.0,1/1/1900,40:15.0,BECKSCH,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,INACTIVE TRAVELERS
229,565,00000565,8009928354,6473,CT,North Haven,116 WASHINGTON AVE,N,87226,1/29/1999,00:00.0,1/29/1999,00:00.0,12/19/2006,00:00.0,1/1/1900,38:24.0,BECKSCH,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,INACTIVE TRAVELERS
229,566,00000566,5184544799,12201,NY,Albany,PO BOX 1525,N,87226,1/29/1999,00:00.0,1/29/1999,00:00.0,12/19/2006,00:00.0,1/1/1900,39:28.0,BECKSCH,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,INACTIVE TRAVELERS
229,567,00000567,8005821005,49501,MI,Grand Rapids,PO BOX 0333,N,87226,1/29/1999,00:00.0,1/29/1999,00:00.0,12/19/2006,00:00.0,1/1/1900,39:04.0,BECKSCH,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,INACTIVE TRAVELERS
229,568,00000568,8006484480,61125,IL,Rockford,PO Box 7045,N,87226,1/29/1999,00:00.0,1/29/1999,00:00.0,8/4/2009,00:00.0,1/1/1900,39:01.0,CC_JWAHDEN,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,INACTIVE TRAVELERS
229,569,00000569,7087479400,60443,IL,Matteson,,N,87226,1/29/1999,00:00.0,1/29/1999,00:00.0,12/19/2006,00:00.0,1/1/1900,38:51.0,BECKSCH,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,INACTIVE TRAVELERS
229,570,00000570,8008423714,8043,NJ,Voorhees Townsh,PO BOX 8050,N,87226,1/29/1999,00:00.0,1/29/1999,00:00.0,12/19/2006,00:00.0,1/1/1900,39:23.0,BECKSCH,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,INACTIVE TRAVELERS
229,571,00000571,0,14692,NY,Rochester,PO BOX 23422,N,87226,1/29/1999,00:00.0,1/29/1999,00:00.0,12/19/2006,00:00.0,1/1/1900,39:58.0,BECKSCH,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,INACTIVE TRAVELERS
229,572,00000572,0,30302,GA,Atlanta,PO BOX 4415,N,87226,1/29/1999,00:00.0,1/29/1999,00:00.0,12/19/2006,00:00.0,1/1/1900,38:37.0,BECKSCH,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,INACTIVE TRAVELERS
229,573,00000573,8008420147,12201,NY,Albany,PO BOX 22062,N,87226,1/29/1999,00:00.0,1/29/1999,00:00.0,12/19/2006,00:00.0,1/1/1900,39:33.0,BECKSCH,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,INACTIVE TRAVELERS
229,574,00000574,8008425252,30903,GA,Augusta,PO BOX 2511,N,87226,1/29/1999,00:00.0,1/29/1999,00:00.0,12/19/2006,00:00.0,1/1/1900,38:45.0,BECKSCH,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,INACTIVE TRAVELERS
229,575,00000575,5184544799,12201,NY,Albany,P.O. BOX 1525,N,87226,1/29/1999,00:00.0,1/29/1999,00:00.0,12/19/2006,00:00.0,1/1/1900,39:37.0,BECKSCH,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,INACTIVE TRAVELERS
229,576,00000576,8005215505,12201,NY,Albany,P.O. BOX 1905,N,87226,1/29/1999,00:00.0,1/29/1999,00:00.0,12/19/2006,00:00.0,1/1/1900,39:41.0,BECKSCH,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,INACTIVE TRAVELERS
229,577,00000577,8005215505,12201,NY,Albany,P.O. BOX 1905,N,87226,1/29/1999,00:00.0,1/29/1999,00:00.0,12/19/2006,00:00.0,1/1/1900,39:45.0,BECKSCH,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,INACTIVE TRAVELERS
229,578,00000578,6144332000,43216,OH,Columbus,PO BOX 180120,N,87226,1/29/1999,00:00.0,1/29/1999,00:00.0,12/19/2006,00:00.0,1/1/1900,40:02.0,BECKSCH,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,INACTIVE TRAVELERS
229,579,00000579,8003316473,28247,NC,Charlotte,PO BOX 473505,N,87226,1/29/1999,00:00.0,1/29/1999,00:00.0,12/19/2006,00:00.0,1/1/1900,39:14.0,BECKSCH,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,INACTIVE TRAVELERS
229,580,00000580,8003316473,28247,NC,Charlotte,P.O. BOX 473505,N,87226,1/29/1999,00:00.0,1/29/1999,00:00.0,12/19/2006,00:00.0,1/1/1900,39:18.0,BECKSCH,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,INACTIVE TRAVELERS
229,581,00000581,8008423719,12201,NY,Albany,PO BOX 22040,N,87226,1/29/1999,00:00.0,1/29/1999,00:00.0,12/19/2006,00:00.0,1/1/1900,39:49.0,BECKSCH,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,INACTIVE TRAVELERS
229,582,00000582,0,12201,NY,Albany,50 WOLF RD PO BOX 1525,N,87226,1/29/1999,00:00.0,1/29/1999,00:00.0,12/19/2006,00:00.0,1/1/1900,39:54.0,BECKSCH,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,INACTIVE TRAVELERS
229,583,00000583,0,6473,CT,North Haven,BOX 218,N,87226,1/29/1999,00:00.0,1/29/1999,00:00.0,12/19/2006,00:00.0,1/1/1900,38:32.0,BECKSCH,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,INACTIVE TRAVELERS
229,584,00000584,8004436430,19422,PA,Blue Bell,PO Box 1127,N,87226,1/29/1999,00:00.0,1/29/1999,00:00.0,8/4/2009,00:00.0,1/1/1900,40:06.0,CC_JWAHDEN,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,INACTIVE TRAVELERS
229,585,00000585,8004234738,60566,IL,Naperville,PO BOX 3071,N,87226,1/29/1999,00:00.0,1/29/1999,00:00.0,12/19/2006,00:00.0,1/1/1900,38:55.0,BECKSCH,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,INACTIVE TRAVELERS
230,111141,00111141,8008668497,29020,SC,Camden,PO Box 7011,N,73288,1/1/1940,00:00.0,1/1/1940,00:00.0,7/31/2009,00:00.0,1/1/1900,02:20.0,KIMKTAR,2/2/2000,00:00.0,1/1/1900,14:12.0,KERLNOD,ADRMASTRG,ZTRICARE SELECT RESERVES
230,162926,00162926,8008668499,17106,PA,Harrisburg,PO Box 69411(UCCI Fee For Srvc,N,CX007,1/1/1940,00:00.0,1/1/1940,00:00.0,12/15/2009,00:00.0,1/1/1900,59:48.0,RBOOKMAN,2/1/2001,00:00.0,1/1/1900,50:48.0,KERLNOD,ADRMASTRG,ZTRICARE SELECT RESERVES
231,507,00000507,8004511527,23279,VA,Richmond,PO BOX 27401,N,84103,1/29/1999,00:00.0,1/29/1999,00:00.0,12/19/2006,00:00.0,1/1/1900,41:38.0,BECKSCH,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,ZTRIGON BLUE CROSS/SHIELD
232,508,00000508,3157979600,13424,NY,Oriskany,5911 Airport Rd,N,6126,DENTAL DEPARTMENT                1999-01-29,00:00.0,1/29/1999,00:00.0,8/3/2010,00:00.0,1/1/1900,06:53.0,RBOOKMAN,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,UFCW LOCAL 1 HEALTH CARE FUND
232,178073,00178073,9098771110,92316,CA,Bloomington,DO NOT USE,N,6126,1/1/1940,00:00.0,1/1/1940,00:00.0,12/19/2006,00:00.0,1/1/1900,25:39.0,BECKSCH,5/15/2001,00:00.0,1/1/1900,19:49.0,DANMWAT,ADRMASTRG,UFCW LOCAL 1 HEALTH CARE FUND
232,500005,00500005,3157979600,13424,NY,Oriskany,5911 Airport Rd,N,6126,CANT USE UFW01                   1940-01-01,00:00.0,1/1/1940,00:00.0,7/13/2010,00:00.0,1/1/1900,04:14.0,RBOOKMAN,2/10/2006,00:00.0,1/1/1900,08:58.0,BAHBATT,INSADR,UFCW LOCAL 1 HEALTH CARE FUND
232,520786,00520786,2162412828,44114,OH,Cleveland,2828 Euclid Ave,N,6126,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,51:42.0,KIMKTAR,4/18/2006,00:00.0,1/1/1900,04:00.0,KIMKTAR,ADRMASTRG,UFCW LOCAL 1 HEALTH CARE FUND
232,691384,00691384,3306448181,44312,OH,Akron,3435 Fortuna Dr,N,6126,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,21:54.0,KIMKTAR,6/28/2007,00:00.0,1/1/1900,21:33.0,KIMKTAR,ADRMASTRG,UFCW LOCAL 1 HEALTH CARE FUND
232,1410217,01410217,8005522400,95661,CA,Roseville,2200 Professional Dr,N,6126,1/1/1940,00:00.0,1/1/1940,00:00.0,10/22/2009,00:00.0,1/1/1900,58:00.0,AGARLAND,10/22/2009,00:00.0,1/1/1900,57:12.0,AGARLAND,INSADR,UFCW LOCAL 1 HEALTH CARE FUND
232,1467856,01467856,3157979600,13424,NY,Oriskany,1 Airport Road,N,6126,1/1/1940,00:00.0,1/1/1940,00:00.0,12/9/2009,00:00.0,1/1/1900,47:03.0,AERWIN,12/9/2009,00:00.0,1/1/1900,46:41.0,AERWIN,INSADR,UFCW LOCAL 1 HEALTH CARE FUND
232,1470335,01470335,8003821799,46242,IN,Indianapolis,PO Box 42669,N,6126,1/1/1940,00:00.0,1/1/1940,00:00.0,12/11/2009,00:00.0,1/1/1900,36:45.0,AERWIN,12/11/2009,00:00.0,1/1/1900,35:30.0,AERWIN,INSADR,UFCW LOCAL 1 HEALTH CARE FUND
232,1478131,01478131,3306523475,44446,OH,Niles,6281 YOUNGSTOWN WARREN RD,,,1/1/1940,00:00.0,1/1/1940,00:00.0,12/18/2009,00:00.0,1/1/1900,29:41.0,BBECKER,12/18/2009,00:00.0,1/1/1900,28:22.0,BBECKER,INSADR,UFCW LOCAL 1 HEALTH CARE FUND
232,1497461,01497461,8009995703,14231,NY,Buffalo,PO BOX 408,N,6126,1/1/1940,00:00.0,1/1/1940,00:00.0,7/7/2010,00:00.0,1/1/1900,56:46.0,RBOOKMAN,1/7/2010,00:00.0,1/1/1900,37:52.0,BBECKER,INSADR,UFCW LOCAL 1 HEALTH CARE FUND
232,1511934,01511934,8006215133,60068,IL,Park Ridge,1300 Higgens Rd,,6126,1/1/1940,00:00.0,1/1/1940,00:00.0,1/18/2010,00:00.0,1/1/1900,10:03.0,BBECKER,1/18/2010,00:00.0,1/1/1900,08:48.0,BBECKER,INSADR,UFCW LOCAL 1 HEALTH CARE FUND
232,1517116,01517116,8606778118,45248,OH,Cincinnati,Po Box 46511,,6126,1/1/1940,00:00.0,1/1/1940,00:00.0,1/21/2010,00:00.0,1/1/1900,50:48.0,BBECKER,1/21/2010,00:00.0,1/1/1900,49:57.0,BBECKER,INSADR,UFCW LOCAL 1 HEALTH CARE FUND
232,1795436,01795436,0,43542,OH,Monclova,9970 Old Airport Highway,,34171,1/1/1940,00:00.0,1/1/1940,00:00.0,8/20/2010,00:00.0,1/1/1900,25:20.0,LISASPE,8/20/2010,00:00.0,1/1/1900,24:57.0,LISASPE,INSADR,UFCW LOCAL 1 HEALTH CARE FUND
232,2887808,02887808,3156719812,13088,NY,Liverpool,PO Box 780,N,16117,1/1/1940,00:00.0,1/1/1940,00:00.0,7/5/2012,00:00.0,1/1/1900,25:57.0,KVANCAMP,7/5/2012,00:00.0,1/1/1900,25:13.0,KVANCAMP,INSADR,UFCW LOCAL 1 HEALTH CARE FUND
232,6884114,06884114,8003461223,19610,PA,Wyomissing,PO Box 7011 (Loomis Co.),,23223,1/1/1940,00:00.0,V307003      2016-10-25,00:00.0,7/6/2016,00:00.0,1/1/1900,47:50.0,MCARMONA,7/6/2016,00:00.0,1/1/1900,46:47.0,MCARMONA,INSADR,UFCW LOCAL 1 HEALTH CARE FUND
233,509,00000509,8006424346,19049,PA,Langhorne,4860 STREET RD,N,6126,D      1999-01-29,00:00.0,1/29/1999,00:00.0,12/19/2006,00:00.0,1/1/1900,22:44.0,BECKSCH,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,UNION FIDELITY LIFE INS
233,81806,00081806,8006215122,19049,PA,Langhorne,4860 Street Rd,N,6126,D      1940-01-01,00:00.0,1/1/1940,00:00.0,12/19/2006,00:00.0,1/1/1900,22:50.0,BECKSCH,7/23/1999,00:00.0,1/1/1900,46:25.0,MICHELLES,ADRMASTRG,UNION FIDELITY LIFE INS
233,105735,00105735,8006215122,19049,PA,Trevose,4860 STREET ROAD,N,6126,D      1940-01-01,00:00.0,1/1/1940,00:00.0,9/20/2007,00:00.0,1/1/1900,23:03.0,BECKSCH,12/28/1999,00:00.0,1/1/1900,07:03.0,KERLNOD,ADRMASTRG,UNION FIDELITY LIFE INS
233,126009,00126009,8884324642,19049,PA,Trevose,4860 STREET ROAD,N,6126,D      1940-01-01,00:00.0,1/1/1940,00:00.0,9/20/2007,00:00.0,1/1/1900,23:09.0,BECKSCH,5/12/2000,00:00.0,1/1/1900,01:51.0,TERLBAL,ADRMASTRG,UNION FIDELITY LIFE INS
233,133213,00133213,8003267547,19049,PA,Langhorne,4860 STREET ROAD,N,6126,D      1940-01-01,00:00.0,1/1/1940,00:00.0,12/19/2006,00:00.0,1/1/1900,22:58.0,BECKSCH,7/3/2000,00:00.0,1/1/1900,34:19.0,TERLBAL,ADRMASTRG,UNION FIDELITY LIFE INS
233,194593,00194593,0,6082,CT,Enfield,100 Bright Meadow Blvd,N,6126,D      1940-01-01,00:00.0,1/1/1940,00:00.0,7/31/2009,00:00.0,1/1/1900,44:07.0,KIMKTAR,9/7/2001,00:00.0,1/1/1900,26:04.0,DANMWAT,ADRMASTRG,UNION FIDELITY LIFE INS
233,209328,00209328,8006424346,1302,MA,Greenfield,PO Box 810,N,6126,D      1940-01-01,00:00.0,1/1/1940,00:00.0,7/31/2009,00:00.0,1/1/1900,57:58.0,KIMKTAR,12/28/2001,00:00.0,1/1/1900,56:44.0,DANMWAT,ADRMASTRG,UNION FIDELITY LIFE INS
234,313,00000313,8773948224,17106,PA,Harrisburg,PO Box 69421(Sunlife),N,CX007,1/1/1940,00:00.0,1/1/1940,00:00.0,9/20/2012,00:00.0,1/1/1900,01:34.0,KJAGDEO,7/12/2000,00:00.0,1/1/1900,54:18.0,KERLNOD,ADRMASTRG,UNITED CONCORDIA
234,131879,00131879,8008668499,17106,PA,Harrisburg,PO Box 69411,N,CX002,1/1/1940,00:00.0,1/1/1940,00:00.0,11/1/2010,00:00.0,1/1/1900,01:29.0,RBOOKMAN,6/22/2000,00:00.0,1/1/1900,10:54.0,KATMRET,INSADR,UNITED CONCORDIA
234,142226,00142226,8003320366,17106,PA,Harrisburg,PO Box 69421,N,CX007,1/1/1940,00:00.0,1/1/1940,00:00.0,11/1/2010,00:00.0,1/1/1900,01:42.0,RBOOKMAN,9/5/2000,00:00.0,1/1/1900,07:14.0,ELLGGAI,INSADR,UNITED CONCORDIA
234,143438,00143438,8003320366,17106,PA,Harrisburg,PO Box 69421,N,CX007,1/1/1940,00:00.0,1/1/1940,00:00.0,11/1/2010,00:00.0,1/1/1900,01:46.0,RBOOKMAN,9/13/2000,00:00.0,1/1/1900,42:40.0,ELLGGAI,INSADR,UNITED CONCORDIA
234,143757,00143757,8008668499,17106,PA,Harrisburg,PO Box 69411 (TDP),N,CX002,1/1/1940,00:00.0,1/1/1940,00:00.0,11/1/2010,00:00.0,1/1/1900,01:50.0,RBOOKMAN,9/15/2000,00:00.0,1/1/1900,45:26.0,TERLBAL,INSADR,UNITED CONCORDIA
234,193586,00193586,8008668499,17106,PA,Harrisburg,ZINACTIVE,N,,1/1/1940,00:00.0,1/1/1940,00:00.0,1/11/2010,00:00.0,1/1/1900,25:20.0,RBOOKMAN,8/30/2001,00:00.0,1/1/1900,59:43.0,TERLBAL,INSADR,UNITED CONCORDIA
234,204271,00204271,8008668499,17106,PA,Harrisburg,PO Box 69411,N,CX002,1/1/1940,00:00.0,1/1/1940,00:00.0,11/1/2010,00:00.0,1/1/1900,02:03.0,RBOOKMAN,11/14/2001,00:00.0,1/1/1900,31:07.0,TERLBAL,INSADR,UNITED CONCORDIA
234,210868,00210868,0,30345,,College Park,ZINACTIVE,N,,1/1/1940,00:00.0,1/1/1940,00:00.0,1/11/2010,00:00.0,1/1/1900,24:59.0,RBOOKMAN,1/9/2002,00:00.0,1/1/1900,17:52.0,DANMWAT,INSADR,UNITED CONCORDIA
234,244739,00244739,8008668499,17106,PA,Harrisburg,PO Box 69411 (TDP),N,CX002,1/1/1940,00:00.0,1/1/1940,00:00.0,11/1/2010,00:00.0,1/1/1900,02:08.0,RBOOKMAN,8/28/2002,00:00.0,1/1/1900,19:35.0,CHRILOR,INSADR,UNITED CONCORDIA
234,345165,00345165,8008868499,17106,PA,Harrisburg,PO Box 69421,N,CX007,1/1/1940,00:00.0,1/1/1940,00:00.0,11/1/2010,00:00.0,1/1/1900,02:12.0,RBOOKMAN,4/26/2004,00:00.0,1/1/1900,13:17.0,JENNEDW,INSADR,UNITED CONCORDIA
234,361785,00361785,8003320366,17106,PA,Harrisburg,PO Box 69421,N,CX007,1/1/1940,00:00.0,1/1/1940,00:00.0,11/1/2010,00:00.0,1/1/1900,02:18.0,RBOOKMAN,7/23/2004,00:00.0,1/1/1900,34:18.0,JENNEDW,INSADR,UNITED CONCORDIA
234,439625,00439625,8008668499,17106,PA,Harrisburg,PO Box 69411,N,CX002,1/1/1940,00:00.0,1/1/1940,00:00.0,11/1/2010,00:00.0,1/1/1900,02:53.0,RBOOKMAN,6/24/2005,00:00.0,1/1/1900,37:10.0,TIMLUND,INSADR,UNITED CONCORDIA
234,610733,00610733,8773948224,17106,PA,Harrisburg,PO Box 69421,N,CX007,1/1/1940,00:00.0,1/1/1940,00:00.0,11/1/2010,00:00.0,1/1/1900,03:08.0,RBOOKMAN,1/22/2007,00:00.0,1/1/1900,08:19.0,BAHBATT,INSADR,UNITED CONCORDIA
234,643758,00643758,8003320366,17106,PA,Harrisburg,PO Box 69421,N,CX007,1/1/1940,00:00.0,1/1/1940,00:00.0,11/1/2010,00:00.0,1/1/1900,03:36.0,RBOOKMAN,3/28/2007,00:00.0,1/1/1900,15:27.0,ASCRUGGS,INSADR,UNITED CONCORDIA
234,672867,00672867,8003320366,17106,PA,Harrisburg,PO Box 69421,N,CX007,1/1/1940,00:00.0,1/1/1940,00:00.0,11/1/2010,00:00.0,1/1/1900,03:41.0,RBOOKMAN,5/22/2007,00:00.0,1/1/1900,15:09.0,KIMKTAR,INSADR,UNITED CONCORDIA
234,703274,00703274,8003320366,17106,PA,Harrisburg,PO Box 69421,N,CX007,1/1/1940,00:00.0,1/1/1940,00:00.0,11/1/2010,00:00.0,1/1/1900,03:46.0,RBOOKMAN,7/20/2007,00:00.0,1/1/1900,43:35.0,BAHBATT,INSADR,UNITED CONCORDIA
